service_id,name,category,verification_level,last_verified,cadence_days,days_since_verification,status,search_visibility,priority_lane,recommendation,reviewer,evidence_url,notes
coast-mental-health,COAST (Crisis Outreach),Crisis,L2,2026-01-02,30,182,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (182 days old).,,,
amhs-kfla-crisis-line,AMHS-KFLA 24/7 Crisis Line,Crisis,L2,2026-01-03,30,181,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
assaulted-womens-helpline,Assaulted Women's Helpline (AWHL),Crisis,L1,2026-01-03,30,181,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
crisis-988,9-8-8 Suicide Crisis Helpline,Crisis,L1,2026-01-03,30,181,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
crisis-assaulted-womens-helpline,Assaulted Women's Helpline (AWHL),Crisis,L1,2026-01-03,30,181,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
crisis-connex-ontario,ConnexOntario,Crisis,L1,2026-01-03,30,181,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
crisis-good2talk,Good2Talk,Crisis,L1,2026-01-03,30,181,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
crisis-hope-for-wellness,Hope for Wellness Helpline,Crisis,L1,2026-01-03,30,181,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
crisis-kids-help-phone,Kids Help Phone,Crisis,L1,2026-01-03,30,181,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
crisis-ontario-gambling,Ontario Problem Gambling Helpline,Crisis,L1,2026-01-03,30,181,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (181 days old).,,,
