service_id,name,category,verification_level,last_verified,cadence_days,days_since_verification,status,search_visibility,priority_lane,recommendation,reviewer,evidence_url,notes
coast-mental-health,COAST (Crisis Outreach),Crisis,L2,2026-01-02,30,191,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (191 days old).,,,
amhs-kfla-crisis-line,AMHS-KFLA 24/7 Crisis Line,Crisis,L2,2026-01-03,30,190,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
assaulted-womens-helpline,Assaulted Women's Helpline (AWHL),Crisis,L1,2026-01-03,30,190,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
crisis-988,9-8-8 Suicide Crisis Helpline,Crisis,L1,2026-01-03,30,190,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
crisis-assaulted-womens-helpline,Assaulted Women's Helpline (AWHL),Crisis,L1,2026-01-03,30,190,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
crisis-connex-ontario,ConnexOntario,Crisis,L1,2026-01-03,30,190,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
crisis-good2talk,Good2Talk,Crisis,L1,2026-01-03,30,190,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
crisis-hope-for-wellness,Hope for Wellness Helpline,Crisis,L1,2026-01-03,30,190,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
crisis-kids-help-phone,Kids Help Phone,Crisis,L1,2026-01-03,30,190,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
crisis-ontario-gambling,Ontario Problem Gambling Helpline,Crisis,L1,2026-01-03,30,190,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
crisis-poison-control,Ontario Poison Centre,Crisis,L1,2026-01-03,30,190,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
crisis-talk-suicide-canada,Talk Suicide Canada,Crisis,L1,2026-01-03,30,190,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
crisis-talk4healing,Talk4Healing,Crisis,L1,2026-01-03,30,190,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
crisis-text-line,Crisis Text Line,Crisis,L1,2026-01-03,30,190,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
crisis-trans-lifeline,Trans Lifeline,Crisis,L1,2026-01-03,30,190,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
dawn-house-shelter,Dawn House Services and Housing for Women,Crisis,L1,2026-01-03,30,190,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
hope-for-wellness-helpline,Hope for Wellness Helpline,Crisis,L1,2026-01-03,30,190,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
kids-help-phone,Kids Help Phone,Crisis,L1,2026-01-03,30,190,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
kingston-detox-centre,Kingston Detoxification Centre (KHSC),Crisis,L2,2026-01-03,30,190,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
kingston-interval-house,Kingston Interval House,Crisis,L1,2026-01-03,30,190,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
sack-sexual-assault-centre,Sexual Assault Centre Kingston (SACK),Crisis,L2,2026-01-03,30,190,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
sexual-assault-centre-kingston,Sexual Assault Centre Kingston (SACK),Crisis,L2,2026-01-03,30,190,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
telephone-aid-line-kingston-talk,Telephone Aid Line Kingston (TALK),Crisis,L1,2026-01-03,30,190,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
trans-lifeline-canada,Trans Lifeline,Crisis,L1,2026-01-03,30,190,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
victim-services-kingston,Victim Services of Kingston and Frontenac,Crisis,L1,2026-01-03,30,190,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
ontario-211-ontario,211 Ontario,Crisis,L1,2026-01-08,30,185,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (185 days old).,,,
ontario-black-youth-helpline,Black Youth Helpline,Crisis,L1,2026-01-08,30,185,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (185 days old).,,,
ontario-boots-on-the-ground,Boots on the Ground,Crisis,L1,2026-01-08,30,185,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (185 days old).,,,
ontario-farmer-wellness,Farmer Wellness Initiative,Crisis,L1,2026-01-08,30,185,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (185 days old).,,,
ontario-femaide,Fem'aide,Crisis,L1,2026-01-08,30,185,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (185 days old).,,,
ontario-irs-crisis-line,Indian Residential Schools Crisis Line,Crisis,L1,2026-01-08,30,185,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (185 days old).,,,
ontario-lgbt-youthline,LGBT YouthLine,Crisis,L1,2026-01-08,30,185,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (185 days old).,,,
ontario-male-survivors,Support Services for Male Survivors of Sexual Abuse,Crisis,L1,2026-01-08,30,185,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (185 days old).,,,
ontario-metis-crisis-line,Métis Nation of Ontario Crisis Line,Crisis,L1,2026-01-08,30,185,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (185 days old).,,,
ontario-mmiwg-crisis-line,MMIWG Crisis Line,Crisis,L1,2026-01-08,30,185,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (185 days old).,,,
ontario-naseeha,Naseeha Mental Health,Crisis,L1,2026-01-08,30,185,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (185 days old).,,,
ontario-nors,National Overdose Response Service (NORS),Crisis,L1,2026-01-08,30,185,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (185 days old).,,,
ontario-ontx-distress,ONTX - Ontario Online & Text Crisis Services,Crisis,L1,2026-01-08,30,185,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (185 days old).,,,
ontario-sadv-navigation,Sexual Assault/Domestic Violence Navigation Line,Crisis,L1,2026-01-08,30,185,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (185 days old).,,,
ontario-seniors-safety-line,Seniors Safety Line,Crisis,L1,2026-01-08,30,185,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (185 days old).,,,
ontario-vac-assistance,VAC Assistance Service,Crisis,L1,2026-01-08,30,185,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (185 days old).,,,
ontario-victim-support-line,Victim Support Line (VSL),Crisis,L1,2026-01-08,30,185,stale,hidden_pending_reverification,1 - crisis stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (185 days old).,,,
kfla-children-services,KFL&A Children's Services,Community,L2,2026-01-02,90,191,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (191 days old).,,,
kfpl-rideau-heights,KFPL - Rideau Heights Branch,Community,L2,2026-01-02,90,191,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (191 days old).,,,
kingston-humane-society,Kingston Humane Society,Community,L2,2026-01-02,90,191,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (191 days old).,,,
kingston-police-non-emerg,Kingston Police (Non-Emergency),Community,L2,2026-01-02,90,191,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (191 days old).,,,
opp-frontenac,OPP Frontenac Detachment,Community,L2,2026-01-02,90,191,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (191 days old).,,,
red-cross-kingston,Canadian Red Cross - Kingston,Community,L2,2026-01-02,90,191,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (191 days old).,,,
service-ontario-kingston,ServiceOntario,Community,L2,2026-01-02,90,191,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (191 days old).,,,
geneva-centre-autism,Geneva Centre for Autism (Virtual),Education,L2,2026-01-02,90,191,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (191 days old).,,,
odsp-kingston,ODSP Kingston Office,Financial,L2,2026-01-02,90,191,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (191 days old).,,,
service-canada-kingston,Service Canada Centre,Financial,L2,2026-01-02,90,191,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (191 days old).,,,
alzheimer-society-kfla,Alzheimer Society KFL&A,Health,L2,2026-01-02,90,191,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (191 days old).,,,
autism-ontario-east,Autism Ontario (East Region),Health,L2,2026-01-02,90,191,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (191 days old).,,,
cnib-kingston,CNIB Foundation Kingston,Health,L2,2026-01-02,90,191,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (191 days old).,,,
kingston-pregnancy-care,Kingston Pregnancy Care Centre,Health,L2,2026-01-02,90,191,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (191 days old).,,,
st-john-ambulance-kingston,St. John Ambulance,Health,L2,2026-01-02,90,191,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (191 days old).,,,
habitat-for-humanity-kingston,Habitat for Humanity Kingston,Housing,L2,2026-01-02,90,191,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (191 days old).,,,
kingston-east-community-centre,Kingston East Community Centre,Wellness,L2,2026-01-02,90,191,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (191 days old).,,,
bgc-south-east,BGC South East,Community,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
boys-girls-club-kingston,BGC South East (Boys & Girls Club),Community,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
community-foundation-kingston,Community Foundation for Kingston & Area,Community,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
community-living-kingston,Community Living Kingston and District,Community,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
crisis-211-ontario,211 Ontario,Community,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
crisis-pflag-canada,PFLAG Canada,Community,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
earlyon-cosy,EarlyON Child and Family Centre,Community,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
earlyon-kchc,EarlyON Child and Family Centre (KCHC),Community,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
hart-centre,H'art Centre,Community,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
iska-newcomer-support,Trellis HIV & Community Care,Community,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
kfpl-calvin-park,KFPL - Calvin Park Branch,Community,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
kfpl-central-branch,Kingston Frontenac Public Library - Central Branch,Community,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
kfpl-isabel-turner,KFPL - Isabel Turner Branch,Community,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
kfpl-pittsburgh,KFPL - Pittsburgh Branch,Community,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
kiln-language-nest,Kingston Native Centre and Language Nest (KNCLN),Community,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
kingston-access-bus,Kingston Access Services (Access Bus),Community,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
kingston-military-family-resource,Kingston Military Family Resource Centre (KMFRC),Community,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
kmfrc,Kingston Military Family Resource Centre (KMFRC),Community,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
metis-nation-ontario-kingston,Métis Nation of Ontario (Kingston Office),Community,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
one-roof-youth-hub,One Roof Kingston Youth Hub,Community,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
ongwanada,Ongwanada,Community,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
rideau-heights-community-centre,Rideau Heights Community Centre,Community,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
rural-frontenac-community-services,Rural Frontenac Community Services,Community,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
seniors-association-kingston,Seniors Association Kingston Region,Community,L1,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
south-frontenac-community-services,Southern Frontenac Community Services,Community,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
tnet-kingston,TransFamily Kingston,Community,L2,2026-01-03,90,190,stale,hidden_pending_reverification,3 - stale,Reverify before restoring current-date search visibility; update service facts and provenance only after evidence is recorded (190 days old).,,,
